CATEGORY,PARENT,ADVERTISER,PRODUCT,TITLE,TAGLINE,REVISION,DESCRIPTION,LANGUAGE,MEDIA TYPE,LINK,ADSCOPE ID,CORE CREATIVE ID,CREATIVE ATTRIBUTE(S),LAST PERIOD AIRED,LENGTH/SIZE,MARKET1,PROGRAM,FIRST SEEN,UNITS,DOLS
B512 Notebook/Laptop Computers,Dell Technologies Inc,Dell,Dell XPS 13 : Laptop Computer,Most Powerful Laptop,,,"Laptop parts are featured being suspended. M-Annc It's interesting what happens when you treat every little piece of a thing like it's not just one thing but everything."" He states that when each part does better than ever then imagine what people can do with sum of those parts Text:[EVERY LITTLE THING IS EVERYTHING] The new Dell XPS 13. DELL.COM/XPS""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22427848&mtid=1&ff=1,40670518.0,22427848,New Product=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-03,101,1138968.0
B422 Automobile Insurance,State Farm Mutual Auto Ins Co,State Farm,State Farm : Auto Insurance,Providing Best Insurance,Like a good neighbor State Farm is there.,,"Logo is featured. Woman I'm so sorry....""  Jake from State Farm is featured and he states that States Farm is here to take care of everything.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22503356&mtid=1&ff=1,40811190.0,22503356,,2020-03-23,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US | VOICE,2020-02-15,21,1074651.0
"D564 Prescription Arthritis, Osteoporosis, Musculoskeletal Medications",AbbVie Inc,AbbVie,Humira : Psoriatic Arthritis Rx,Tell Your Doctor,LESS PAIN IMMEDIATELY FOLLOWING INJECTION,,"A woman is featured along with the tag. F-Annc Humira Patients this one's for you."" She states the hero to won't let your disease hold you back. You inspired them to make your Humira experience even better with Humira citrate free. it has the same effectiveness you know and trust. But they remove the citrate buffers. There's less liquid and this in the needle with less pain immediately following injection. If you haven't yet talk to your doctor about Humira citrate free and you can use your copay card and pay as little as $5 a month. Humira can lower your ability to fight infections. Serious and sometimes fatal infections including Tuberculosis and cancer s including Lymphoma has happened as have blood nervous systems problems. Serious allergic reactions and new or worsening heart failure . Tell your doctor. Don't start Humira if you have infections. HUMIRA.com/cost""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22287408&mtid=1&ff=1,40397259.0,22287408,Price Point=Y|,2020-04-06,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US | VOICE,2020-01-06,9,1072084.0
B429 Insurance: Comb Copy & NEC,State Farm Mutual Auto Ins Co,State Farm,State Farm : Various Insurance,By Your Side,Like a good neighbor State Farm is there.,,"Tag is featured against a red background. Man Yeah I'm married does it matter?"" He asks the person he's talking to if they would  do that for him and notes that he'd like it. The man's wife has come downstairs and is suspicious about his phone call. She asks who he's talking to and he replies that it's Jake from State Farm. She doesn't believe him because it's three in the morning and takes the phone to question Jake what he is wearing.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22424448&mtid=1&ff=1,40664391.0,22424448,,2020-05-25,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | THIS IS US,2020-02-02,59,1034721.0
D569 Prescription Medications General Promotion & Multi Condition,Pfizer Inc,Pfizer,Xeljanz XR : Psoriatic Arthritis & Rheumatoid Arthritis Rx,Morning Made Better,,,"A woman is featured waking up. F-Annc Mornings were made for better things than Rheumatoid arthritis or Psoriatic arthritis."" She states when considering another treatment ask about Xeljanz XR. A once daily pill for adults with moderate to sever RA or active PA for whom Methotrexate did not work well enough. It can reduce joint pain and swelling and significantly improve physical function. It can lower your ability to fight infection like TB. Don't start taking it if you have infection. Taking the higher than recommended doses Xeljanz RA can increase risk of death. Serious sometimes fatal infection cancers including lymphoma and blood clot has happened. As have tears in stomach or intestine serious allergic reaction and change in lab report. Tell your doctor if you have been somewhere fungal infections or common or if you have had TB hepatitis B C or are prone to infection. Don't let another morning go bye without acting your doctor about  Xeljanz XR.1-844-XELJANZ XELJANZ.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22394525&mtid=1&ff=1,40602152.0,22394525,,2020-05-25,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-01-27,13,1030868.0
D567 Prescription Medications NEC,Novartis AG,Novartis,Kisqali : Breast Cancer Rx,Way to Live Longer,,,"The face of a woman is featured. F-Annc We are the thrivers"". F-Annc states about women with breast cancer. She mentions that their time for more time has come. Living longer is possible & proven in post-menopausal women taking Kisqali plus fulvestrant. In a clinical trial Kisqali plus fulvestrant have helped women live longer with HR positive or HER2 negative metastatic breast cancer and it's significantly delayed disease progression. Kisqali can cause lung  problem or an abnormal heartbeat leading to death & serious liver problems & low white blood cell count which may result in severe infection. Tell your doctor right away if you have new or worsening symptoms including breathing problems cough chest pain change in your heartbeat dizziness yellowing of the skin or eyes tiredness loss of appetite abdomen pain bleeding bruising  chills or other symptoms of an infection are or planned to become pregnant or breast feeding avoid the treatment. Ask your doctor about living longer with Kisqali. 1-800-282-7630 KISQALI.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22466224&mtid=1&ff=1,40743578.0,22466224,,2020-05-11,60,* NATIONAL,VOICE,2020-02-09,2,1028800.0
D567 Prescription Medications NEC,Novo Nordisk AS,Novo Nordisk,Ozempic : Diabetes Rx,Treat...Diabetes/Legalese,,Legalese is now changed.,"A man is featured playing guitar. Text: For adults with type 2 diabetes] M-Annc Once weekly Ozempic is helping many people with Type 2 diabetes like James lower their blood sugar."" A majority adults took Ozempic reached A!C under 7 and maintained it. People may loose weight. People who took Ozempic might loose on average of 12 pounds. Ozempic does not increase the risk of major cardio vascular disease like heart attack stroke or death. People has to take once a week. Ozempic should not be the first medicine for treating diabetes for people with type 1 diabetes and diabetic cyto acidosis. people should not share needles or pens. People should not take if they have a history of thyroid cancer or if they are allergic to Ozempic. People should stop taking Ozempic if they have lump or swelling on neck. Common side effects such as itching rash severe stomach pain or troubled breathing constipation. Side  effects may include pancreatitis. People should consult doctor if they have vision changes. Some side effects may lead to dehydration which can worsen kidney problems. People may pay as little as $25 per prescription. 1-833-OZEMPIC Ozempic.com myOzempicCost.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22554430&mtid=1&ff=1,40924341.0,22554430,Price Point=Y|,2020-04-06,90,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-26,7,920594.0
H422 Heavy Duty Laundry Detergents,Unilever,Seventh Generation,Seventh Generation : Liquid Laundry Detergent,Get the Fresh Wash,No unnecessary Chemicals,,"A cleaner is featured. Man Get this your detergent may contain Di sodium di styro di...."" He states people to switch to Seventh Generation""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22579142&mtid=1&ff=1,40982373.0,22579142,,2020-05-25,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-03-02,99,844208.0
B421 Homeowners & Personal Property Insurance,Berkshire Hathaway Inc,Geico,Geico : Homeowners Insurance,Take the Right Advice,,,"Mascot of Geico is featured i front of a door. Mascot Hello.' It mentions that it saw her move in and wanted welcome her to neighborhood with some homemade biscuits along with the advice that Geico can save you her with homeowners insurance. M-Annc mentions call Geico and see how easy it to save on homeowners and condo insurance it can be.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22460397&mtid=1&ff=1,40728447.0,22460397,Mascot=Y|,2020-03-30,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US | VOICE,2020-02-07,30,810183.0
"F341 Breads, Rolls, Waffles & Pancakes",Kellogg Co,Eggo,Eggo Homestyle : Frozen Waffles,Crispier Homestyle Waffles,,,"The product is featured along with a toaster with two waffles in it. M-Annc T minus ten seconds to crispier fluffier Eggo homestyle waffles.""  He continues to state that now that the waffles are crispier and fluffier will one let go off their Eggo.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22287086&mtid=1&ff=1,40398658.0,22287086,,2020-05-11,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-01-06,74,782094.0
B429 Insurance: Comb Copy & NEC,Progressive Corp,Progressive,Progressive : Various Insurance,Flo: Save Money Bundling with Home and Auto,,,"People are featured. Man Ladies my friends and I are having a debate."" Flo is featured. Woman mentions you could save money bundling home and auto with Progressive and renters can bundle too. 1-800-PROGRESSIVE PROGRESSIVE.COM""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22606918&mtid=1&ff=1,41034364.0,22606918,Celebrity=Y|Spokesperson=Y|,2020-04-06,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-03-09,36,777795.0
B429 Insurance: Comb Copy & NEC,Berkshire Hathaway Inc,Geico,Geico : Motorcycle Insurance,Get Your Savings,,,"Ariel view of a moving bike is featured. Man Done yet?"" M-Annc states if you ride you get it. Geico Motorcycle 15 minutes could save you 15% or more.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22418256&mtid=1&ff=1,40653709.0,22418256,,2020-04-06,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY,2020-02-01,31,774057.0
B111 Credit Cards,JP Morgan Chase & Co,Chase,Chase Freedom Unlimited : Personal Credit Card : Visa,K. Hart: Earn Cash Back on Everything You Buy,MAKE MORE OF WHAT'S YOURS,,"Kevin Hart is featured in a showroom. K. Hart My money should work as hard as I do."" So he uses his Freedom Unlimited Card to buy all the latest tech stuff. He states that he earned on a charger that day. Earn 1.5% cash back on everything you buy with Freedom Unlimited. Text: [ALWAYS] [EARNING]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=20666129&mtid=1&ff=1,36939728.0,20666129,Celebrity=Y|Spokesperson=Y|Loyalty/Rewards=Y|,2020-03-23,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-01-20,28,764076.0
B111 Credit Cards,Discover Financial Services,Discover,Discover It : Personal Credit Card,Best Credit Card,,,"Mike Myers is featured as Dr. Evil. M. Myers How about no?""Alicia Silverstone Jack Black John Candy Matthew Perry. Text: [DOES] [DISCOVER] [CHANGE] [ANNUAL] [FEES?] M-Annc states that only Discover has no annual fee on any card. Discover.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22425164&mtid=1&ff=1,40664597.0,22425164,Celebrity=Y|,2020-05-25,15,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-02-02,54,760137.0
V411 Apparel-Department Store,Kohls Corp,Kohls,Kohls : Womens Apparel,get Your Proper Look Everyday,,,"A woman is featured put off her sunglass and wear it on head along with logo. F-Annc Work look."" She states that running late look yoga look truth teller girls necklace day night look everyday look for everyone. Get your look at Kohl's.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22613540&mtid=1&ff=1,41048631.0,22613540,,2020-03-23,15,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY,2020-03-08,30,742132.0
"T119 Light Trucks, Eurpn&NEC Factory: Sls&Lsg",Volkswagen Ag,Volkswagen,Volkswagen Atlas Cross Sport : European SUV,Paul Giamatti: Get The Car,,,"Paul Giamatti is featured talking over the phone. P. Giamatti You can't claim that as a dependent."" He states that people ask him what sort of a person should become a celebrity accountant. He is featured talking to different people over the phone. Text: [The all-new] [Atlas CROSS SPORT] [Excessive where it matters] [Drive] [bigger]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22948993&mtid=1&ff=1,41760682.0,22948993,Celebrity=Y|Spokesperson=Y|,2020-03-23,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US,2020-03-09,13,727905.0
F412 Tea,Pepsico Inc/Unilever,Pure Leaf,Pure Leaf : RTS Iced Tea,Everything Natural,NO IS BEAUTIFUL,,"A glass is being filled with Pure Leaf is featured. F-Annc At Pure Leaf the most important ingredient in making tea is saying no."" She states that in their real brewed iced tea they says no to artificial flavors and sweeteners which means no settling.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22468598&mtid=1&ff=1,40746585.0,22468598,,2020-03-23,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-10,29,725584.0
B213 Wireless Home/Business Phone Equip & Sys,Samsung Group,Samsung,Samsung Galaxy S20 : Wireless Phones,Bight Night with 100X Space Zoom,,,"People are featured along with text. Text: [Introducing Galaxy S20 Series] M-Annc Ladies and gentlemen."" Text: [8K Video Snap] [100X Space Zoom] [Bright Night] [And 5G speed] Found with Galaxy S20 Series] Tag of T-Mobile is featured.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22604172&mtid=1&ff=1,41027649.0,22604172,Co-Op=Y|Phone: Android/Droid=Y|New Product=Y|Service 5G=Y|,2020-03-23,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-03-06,13,723936.0
D566 Prescription Gastrointestinal Medications,AbbVie Inc,AbbVie,Humira : Ulcerative Colitis Rx,Get Control on UC,CONTROL IS POSSIBLE,,"Tailgate party is being featured. M-Annc I thought I had my moderate to severe ulcerative colitis under control turns out it was controlling me."" He states that it's like the symptoms has taken his time and then he learned about Humira which helps in UC under control better than other medicines. F-Annc states that Humira can lower the ability to fight infection. Serious sometimes fatal infection such as tuberculosis and cancer including lymphoma have happened. Serious allergic reaction and worsening heart failure also has happened. She states people to consult doctor before use using Humira and they should tell them about any fungal infection or if they have suffered from any other infection. Text:[See our ad in ELLE] 877-6-HUMIRA HUMIRAforUC.com""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22428010&mtid=1&ff=1,40670989.0,22428010,,2020-04-06,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-02-03,6,717704.0
"T113 Cars, European & NEC Factory: Sls & Lsg",BMW Ag,BMW,BMW 2-Series : European Passenger Auto,Your Way is the Best Way,The Ultimate Driving Machine,,"Four men are featured carrying a man sitting on a big single couch. M-Annc There's option one and then there's option two."" Two options of different aspects are featured. He mentions that in life you can do things in their way or you can do things in your way. He mentions the Gran Coupe to be option 2.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22281912&mtid=1&ff=1,40386586.0,22281912,,2020-03-23,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | THIS IS US | VOICE,2020-01-20,31,689325.0
"T118 Light Trucks, Asian Factory: Sls&Lsg",Kia Motors Corp,Kia,Kia Seltos : Asian Crossover Utility Vehicle,Because You Can/-Introducing,,Now M-Annc no longer mentions introducing the all-new Seltos.,"A Kia vehicle is featured coming out of dense smoke and dust. M-Annc Today started like any other day."" He states you got up showered brush your teeth. he also mentions get a new Seltos and took the shortcut to the desert. Text: [AWD STARTING UNDER $22000]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22525821&mtid=1&ff=1,40864629.0,22525821,Price Point=Y|New Product=Y|,2020-04-06,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-02-19,21,680029.0
B429 Insurance: Comb Copy & NEC,State Farm Mutual Auto Ins Co,State Farm,State Farm : Various Insurance,J. Stone: Get Good Deal,Like a good neighbor State Farm is there.,,"Tag is featured against a red background. Jake Stone is featured. J. Stone It's Jake from State Farm."" The man's wife has come downstairs and is suspicious about his phone call. She asks who he's talking to and he replies that it's Jake from State Farm. She doesn't believe him because it's three in the morning and takes the phone to question Jake what he is wearing.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22425094&mtid=1&ff=1,40664483.0,22425094,Celebrity=Y|Spokesperson=Y|,2020-05-25,15,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-02-02,70,662388.0
D567 Prescription Medications NEC,Gilead Sciences,Gilead,Epclusa : Hepatitis C Rx,Enjoy the Relief,,,"A man is featured. Man I wanted my Hepatitis C gone."" F-Annc states that Epclusa treats all main types of chronic Hep C. Whatever you type Epclusa could be your kind of cure. It has the 98% of overall cure rate. It's only one pill once a day taken with or without food for 12 weeks. Before you start Epclusa your doctor will test if you have Hepatitis C which may cause liver problems. Tell your doctor if you have had Hepatitis C other lever or kidney problems HIV or other medical conditions and all medicines you take including herbal supplements. Ask your doctor if Epculsa is your kind of medicine. Text: sofosbuvir/velpatasvir] [400 mg/100 mg tablets] [Pay as little as $5 per co-pay] EPCLUSA.com  1-844-4EPCLUSA""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22286743&mtid=1&ff=1,40396212.0,22286743,Price Point=Y|,2020-05-18,60,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-01-06,7,660458.0
F461 Carbonated & Flavored Waters,Pepsico Inc,Bubly Sparkling Water,Bubly Sparkling Water : Sparkling Water,M. Buble: Taking Care of the Spelling,Crack a Smile,,"Michael Buble is featured spray painting a billboard ad of the drink along with crowd looking at that. Lady Police ....we got a code Bubly."" M-Annc states the name. Text: [no calories] [no sweeteners] [all smiles]""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22426719&mtid=1&ff=1,40668886.0,22426719,Celebrity=Y|Spokesperson=Y|,2020-03-30,15,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-02-03,27,656458.0
